연월,종목명,종목코드,시장명,종가
2022/01,삼성전자,5930,KOSPI,73300
2022/02,삼성전자,5930,KOSPI,72100
2022/03,삼성전자,5930,KOSPI,69600
2022/04,삼성전자,5930,KOSPI,67400
2022/05,삼성전자,5930,KOSPI,67400
2022/06,삼성전자,5930,KOSPI,57000
2022/07,삼성전자,5930,KOSPI,61400
2022/08,삼성전자,5930,KOSPI,59700
2022/09,삼성전자,5930,KOSPI,53100
2022/10,삼성전자,5930,KOSPI,59400
2022/11,삼성전자,5930,KOSPI,62200
2022/12,삼성전자,5930,KOSPI,55300
2023/01,삼성전자,5930,KOSPI,61000
2023/02,삼성전자,5930,KOSPI,60600
2023/03,삼성전자,5930,KOSPI,64000
2023/04,삼성전자,5930,KOSPI,65500
2023/05,삼성전자,5930,KOSPI,71400
2023/06,삼성전자,5930,KOSPI,72200
2023/07,삼성전자,5930,KOSPI,69800
2023/08,삼성전자,5930,KOSPI,66900
2023/09,삼성전자,5930,KOSPI,68400
2023/10,삼성전자,5930,KOSPI,66900
2023/11,삼성전자,5930,KOSPI,72800
2023/12,삼성전자,5930,KOSPI,78500
2024/01,삼성전자,5930,KOSPI,72700
2024/02,삼성전자,5930,KOSPI,73400
2024/03,삼성전자,5930,KOSPI,82400
2024/04,삼성전자,5930,KOSPI,77500
2024/05,삼성전자,5930,KOSPI,73500
2024/06,삼성전자,5930,KOSPI,81500
2024/07,삼성전자,5930,KOSPI,83900
2024/08,삼성전자,5930,KOSPI,74300
2024/09,삼성전자,5930,KOSPI,61500
2024/10,삼성전자,5930,KOSPI,59200
2024/11,삼성전자,5930,KOSPI,54200
2024/12,삼성전자,5930,KOSPI,53200
2022/01,SK하이닉스,660,KOSPI,120500
2022/02,SK하이닉스,660,KOSPI,123500
2022/03,SK하이닉스,660,KOSPI,118000
2022/04,SK하이닉스,660,KOSPI,112500
2022/05,SK하이닉스,660,KOSPI,108000
2022/06,SK하이닉스,660,KOSPI,91000
2022/07,SK하이닉스,660,KOSPI,97900
2022/08,SK하이닉스,660,KOSPI,95200
2022/09,SK하이닉스,660,KOSPI,83100
2022/10,SK하이닉스,660,KOSPI,82700
